DateTime,ma_state,divergence_buy_condition,divergence_threshold,divergence_ratio,rsiValueThd,rsi,ma_buy_condition,rsi_buy_condition,buy_condition
2022-02-09,1.0,False,0.05,0.0,30,,False,False,False
2022-02-10,1.0,False,0.05,0.0,30,,False,False,False
2022-02-11,1.0,False,0.05,0.0,30,,False,False,False
2022-02-14,1.0,False,0.05,0.0,30,,False,False,False
2022-02-15,0.0,False,0.05,0.0038980193847449702,30,,False,False,False
2022-02-16,0.0,False,0.05,0.0056179775280898545,30,,False,False,False
2022-02-17,0.0,False,0.05,0.0028182774688111697,30,,False,False,False
2022-02-18,0.0,False,0.05,0.00223831468071104,30,,False,False,False
2022-02-21,0.0,False,0.05,0.0033450704225351947,30,,False,False,False
2022-02-22,0.0,False,0.05,0.011837774710691267,30,,False,False,False
2022-02-23,0.0,False,0.05,0.019757206422905724,30,,False,False,False
2022-02-24,0.0,False,0.05,0.0293017456359102,30,,False,False,False
2022-02-25,0.0,False,0.05,0.03333470767708406,30,,False,False,False
2022-02-28,0.0,False,0.05,0.035689562341358234,30,,False,False,False
2022-03-01,0.0,False,0.05,0.040434031526668086,30,34.73393927805121,False,False,False
2022-03-02,0.0,False,0.05,0.04014135556360993,30,29.12646705774314,False,False,False
2022-03-03,0.0,False,0.05,0.045723467971660166,30,26.633163187210215,False,True,True
2022-03-04,0.0,True,0.05,0.05206721202741547,30,21.99789247868722,False,False,True
2022-03-07,0.0,True,0.05,0.06990830475622495,30,18.6174803204146,False,True,True
2022-03-08,0.0,True,0.05,0.0851517668378134,30,16.903012696623946,False,False,True
2022-03-09,0.0,True,0.05,0.0978285845588236,30,16.225484868093957,False,False,True
2022-03-10,0.0,True,0.05,0.09906759906759903,30,20.10536103602854,False,False,True
2022-03-11,0.0,True,0.05,0.09673475826169255,30,18.09931768362121,False,False,True
2022-03-14,0.0,True,0.05,0.10080677530705627,30,14.388701963233459,False,False,True
2022-03-15,0.0,True,0.05,0.11522717969709373,30,11.875931880095905,False,False,True
2022-03-16,0.0,True,0.05,0.1157750228804393,30,30.60207737316877,False,False,True
2022-03-17,0.0,True,0.05,0.09704154427192595,30,43.04369759134194,False,False,True
2022-03-18,0.0,True,0.05,0.06083255695773687,30,43.90326939094335,False,False,True
2022-03-21,0.0,False,0.05,0.013680211712480848,30,42.521105330271695,False,False,False
2022-03-22,1.0,False,0.05,-0.01685610953242057,30,44.405950690947954,False,False,False
2022-03-23,1.0,False,0.05,-0.03286232823437917,30,50.20852764706086,False,False,False
2022-03-24,1.0,False,0.05,-0.039984370929929604,30,46.12381150941935,False,False,False
2022-03-25,1.0,False,0.05,-0.03926701570680632,30,41.25783297980208,False,False,False
2022-03-28,1.0,False,0.05,-0.0364815299973802,30,44.32991257271206,False,False,False
2022-03-29,1.0,False,0.05,-0.02355941068782148,30,46.115106060961295,False,False,False
