DateTime,ma_state,divergence_buy_condition,divergence_threshold,divergence_ratio,rsiValueThd,rsi,ma_buy_condition,rsi_buy_condition,buy_condition
2023-06-13,1.0,False,0.05,0.0,30,,False,False,False
2023-06-14,1.0,False,0.05,0.0,30,,False,False,False
2023-06-15,1.0,False,0.05,0.0,30,,False,False,False
2023-06-16,1.0,False,0.05,0.0,30,,False,False,False
2023-06-19,0.0,False,0.05,0.0006070358582980543,30,,False,False,False
2023-06-20,0.0,False,0.05,0.002367639827344383,30,,False,False,False
2023-06-21,0.0,False,0.05,0.002764657795540226,30,,False,False,False
2023-06-26,0.0,False,0.05,0.0017570240606750247,30,,False,False,False
2023-06-27,0.0,False,0.05,0.0008010149684672058,30,,False,False,False
2023-06-28,1.0,False,0.05,-0.00020362249382922934,30,,False,False,False
2023-06-29,1.0,False,0.05,-0.000543299159883849,30,,False,False,False
2023-06-30,1.0,False,0.05,-0.0012417694511478576,30,,False,False,False
2023-07-03,1.0,False,0.05,-0.0020482260667493385,30,,False,False,False
2023-07-04,1.0,False,0.05,-0.0028011015894526207,30,,False,False,False
2023-07-05,1.0,False,0.05,-0.0035201837756128397,30,63.16758322942551,False,False,False
2023-07-06,1.0,False,0.05,-0.0034786293876249456,30,62.909890546938996,False,False,False
2023-07-07,1.0,False,0.05,-0.0037212603589654113,30,63.360602282094824,False,False,False
2023-07-10,1.0,False,0.05,-0.003758936314219795,30,64.77639494455961,False,False,False
2023-07-11,1.0,False,0.05,-0.003394631996660434,30,67.59851200047585,False,False,False
2023-07-12,1.0,False,0.05,-0.0031465946816445437,30,69.16526139383573,False,False,False
2023-07-13,1.0,False,0.05,-0.002876982098704681,30,69.37588400615068,False,False,False
2023-07-14,1.0,False,0.05,-0.002591652131265446,30,64.55899667448034,False,False,False
2023-07-17,1.0,False,0.05,-0.0022987161452069443,30,67.37628657639797,False,False,False
2023-07-18,1.0,False,0.05,-0.0021671147741122946,30,72.36707659457704,False,False,False
2023-07-19,1.0,False,0.05,-0.0021435565962119605,30,73.8370619529442,False,False,False
2023-07-20,1.0,False,0.05,-0.002526307135810618,30,76.02532455303185,False,False,False
2023-07-21,1.0,False,0.05,-0.00330278256719798,30,79.8972073705163,False,False,False
2023-07-24,1.0,False,0.05,-0.003870629529119474,30,81.90170574674444,False,False,False
2023-07-25,1.0,False,0.05,-0.003437429813189681,30,58.81133444308616,False,False,False
2023-07-26,1.0,False,0.05,-0.00271083447413244,30,56.361514004450044,False,False,False
2023-07-27,1.0,False,0.05,-0.001951890557614453,30,62.78941658050562,False,False,False
2023-07-28,1.0,False,0.05,-0.0006028246641406954,30,57.229810941820666,False,False,False
2023-07-31,1.0,False,0.05,-0.00016335302754168297,30,52.479058207279124,False,False,False
2023-08-01,1.0,False,0.05,-0.00011921613179569006,30,55.02544304245744,False,False,False
2023-08-02,0.0,False,0.05,0.00029199516806203903,30,58.29352733295342,False,False,False
2023-08-03,0.0,False,0.05,0.00013866542884004022,30,60.566084591465845,False,False,False
2023-08-04,1.0,False,0.05,-0.0005439626697426042,30,63.18147585080108,False,False,False
2023-08-07,1.0,False,0.05,-0.001217539646196207,30,65.23285637271502,False,False,False
2023-08-08,1.0,False,0.05,-0.0017016804934005133,30,65.40764414870998,False,False,False
2023-08-09,1.0,False,0.05,-0.002014390467641107,30,65.70933077223381,False,False,False
2023-08-10,1.0,False,0.05,-0.0020073649754500144,30,63.198114835548914,False,False,False
2023-08-11,1.0,False,0.05,-0.0020482829183415575,30,65.35019243957926,False,False,False
2023-08-14,1.0,False,0.05,-0.002586960150014171,30,70.70667990485586,False,False,False
2023-08-15,1.0,False,0.05,-0.004135530579843946,30,80.71265310613022,False,False,False
2023-08-16,1.0,False,0.05,-0.00613035816457957,30,82.4335306320239,False,False,False
2023-08-17,1.0,False,0.05,-0.007872609095714583,30,77.94013597874233,False,False,False
2023-08-18,1.0,False,0.05,-0.009279551416100271,30,79.92396156951109,False,False,False
2023-08-21,1.0,False,0.05,-0.010253024858696743,30,85.6976511384074,False,False,False
2023-08-22,1.0,False,0.05,-0.0105758361269198,30,81.93057814331455,False,False,False
2023-08-23,1.0,False,0.05,-0.011343395017202688,30,82.19357534096541,False,False,False
2023-08-24,1.0,False,0.05,-0.011912549124247822,30,83.08419232811445,False,False,False
2023-08-25,1.0,False,0.05,-0.010166037901811628,30,76.88777050368411,False,False,False
2023-08-28,1.0,False,0.05,-0.008576451490167745,30,73.28412282336956,False,False,False
2023-08-29,1.0,False,0.05,-0.006526336030808138,30,67.2843042161432,False,False,False
2023-08-30,1.0,False,0.05,-0.004262671994214505,30,67.96380222932268,False,False,False
2023-08-31,1.0,False,0.05,-0.002620387162565521,30,69.32269478171058,False,False,False
2023-09-01,1.0,False,0.05,-0.0007308248914616431,30,60.177720796524994,False,False,False
2023-09-04,0.0,False,0.05,0.001961095113836428,30,44.51726908868016,False,False,False
2023-09-05,0.0,False,0.05,0.004247876061969089,30,44.99896627183702,False,False,False
2023-09-06,0.0,False,0.05,0.0074357086497109925,30,38.82748834354645,False,False,False
2023-09-07,0.0,False,0.05,0.01060376228248999,30,34.24960598621311,False,False,False
2023-09-08,0.0,False,0.05,0.011175941999650616,30,39.24459679590917,False,False,False
2023-09-11,0.0,False,0.05,0.011412093459198643,30,38.31272740254709,False,False,False
2023-09-12,0.0,False,0.05,0.010302392657424633,30,42.13678786070322,False,False,False
2023-09-13,0.0,False,0.05,0.007966122749232078,30,44.51918200507532,False,False,False
2023-09-14,0.0,False,0.05,0.005346611848218752,30,52.1590599147667,False,False,False
2023-09-15,0.0,False,0.05,0.0033060671785850333,30,46.732176061747865,False,False,False
2023-09-18,0.0,False,0.05,0.0025287760632995257,30,41.62846849461635,False,False,False
2023-09-19,0.0,False,0.05,0.0020326906548848883,30,43.2012877016057,False,False,False
2023-09-20,0.0,False,0.05,0.002875540444217912,30,41.40551073425669,False,False,False
2023-09-21,0.0,False,0.05,0.0022392660402341586,30,46.536479869528996,False,False,False
2023-09-22,0.0,False,0.05,0.0013535694876863414,30,42.773510052551124,False,False,False
2023-09-25,0.0,False,0.05,0.0019711686428343835,30,37.90538364824886,False,False,False
2023-09-26,0.0,False,0.05,0.0021463638071972583,30,38.78378998137193,False,False,False
2023-09-27,0.0,False,0.05,0.0032617826574792147,30,39.60799051668758,False,False,False
2023-09-28,0.0,False,0.05,0.0029888043412296434,30,48.896066801448136,False,False,False
2023-10-09,0.0,False,0.05,0.0017166148348930295,30,47.494992185123316,False,False,False
2023-10-10,0.0,False,0.05,0.0007934483093874717,30,46.00152930402054,False,False,False
2023-10-11,0.0,False,0.05,0.0002674353488506794,30,42.64173527452328,False,False,False
2023-10-12,0.0,False,0.05,0.0009000062677260068,30,43.455531713908606,False,False,False
2023-10-13,0.0,False,0.05,0.0006107438664333408,30,47.468745035453736,False,False,False
2023-10-16,0.0,False,0.05,0.0001747657811868004,30,48.83301229705692,False,False,False
2023-10-17,1.0,False,0.05,-0.0003831815633806863,30,46.92561327180209,False,False,False
2023-10-18,1.0,False,0.05,-0.0007313414013396861,30,45.31670108482807,False,False,False
2023-10-19,0.0,False,0.05,0.00015097980007921182,30,39.8613177698439,False,False,False
2023-10-20,0.0,False,0.05,0.0006093347202454276,30,44.6971644581905,False,False,False
2023-10-23,0.0,False,0.05,0.0005290605767005487,30,49.48960536130669,False,False,False
2023-10-24,0.0,False,0.05,0.0008093708575507063,30,46.44516621809857,False,False,False
2023-10-25,0.0,False,0.05,0.00020815007195386256,30,46.60504650651966,False,False,False
2023-10-26,0.0,False,0.05,0.00030256138140496254,30,44.99569140893086,False,False,False
2023-10-27,0.0,False,0.05,0.000822513567470105,30,43.382384345306775,False,False,False
2023-10-30,0.0,False,0.05,0.000978685034406693,30,43.30722877618026,False,False,False
2023-10-31,0.0,False,0.05,0.000821150401796367,30,48.62663802988724,False,False,False
2023-11-01,0.0,False,0.05,0.0003219890752538717,30,51.991782610732194,False,False,False
2023-11-02,1.0,False,0.05,-0.0009371960974998095,30,57.55269279233348,False,False,False
2023-11-03,1.0,False,0.05,-0.002498681809361151,30,59.07012161974797,False,False,False
2023-11-06,1.0,False,0.05,-0.003736922241839805,30,60.775619822776065,False,False,False
2023-11-07,1.0,False,0.05,-0.0044326275868014995,30,59.33341497478326,False,False,False
2023-11-08,1.0,False,0.05,-0.004609390501153915,30,61.863600413565024,False,False,False
2023-11-09,1.0,False,0.05,-0.004558750158969373,30,63.905842951261555,False,False,False
2023-11-10,1.0,False,0.05,-0.0045601277950275,30,65.24217281021751,False,False,False
2023-11-13,1.0,False,0.05,-0.005275402795354404,30,69.07147053911443,False,False,False
2023-11-14,1.0,False,0.05,-0.005126354166598789,30,61.80117920627859,False,False,False
2023-11-15,1.0,False,0.05,-0.004545664500716943,30,59.24684808125211,False,False,False
2023-11-16,1.0,False,0.05,-0.004084639622743247,30,63.002956883942296,False,False,False
2023-11-17,1.0,False,0.05,-0.003251902883601606,30,65.46808303904581,False,False,False
2023-11-20,1.0,False,0.05,-0.0029892616299894803,30,65.48504637470458,False,False,False
2023-11-21,1.0,False,0.05,-0.0031074437291529846,30,65.68473589883644,False,False,False
2023-11-22,1.0,False,0.05,-0.0024726246860005043,30,58.94088432845676,False,False,False
2023-11-23,1.0,False,0.05,-0.001152937471488559,30,50.86654339510812,False,False,False
2023-11-24,0.0,False,0.05,0.00016716849612488202,30,50.101911046414315,False,False,False
2023-11-27,0.0,False,0.05,0.0016567169691749388,30,47.174466307859966,False,False,False
2023-11-28,0.0,False,0.05,0.0022789780071333183,30,53.079371317443105,False,False,False
2023-11-29,0.0,False,0.05,0.001939936784427552,30,55.301856920035355,False,False,False
2023-11-30,0.0,False,0.05,0.0011210740546899625,30,59.38047174658034,False,False,False
2023-12-01,1.0,False,0.05,-9.731085263742207e-05,30,60.21670424001362,False,False,False
2023-12-04,1.0,False,0.05,-0.0008332626263737573,30,58.814946327451224,False,False,False
2023-12-05,1.0,False,0.05,-0.0013060651157729036,30,60.3632121149084,False,False,False
2023-12-06,1.0,False,0.05,-0.0014093357038617764,30,62.19090022093756,False,False,False
2023-12-07,1.0,False,0.05,-0.00187441379055903,30,66.06654714461197,False,False,False
2023-12-08,1.0,False,0.05,-0.0025685790378062565,30,66.40914505331179,False,False,False
