DateTime,cash,shares,holdings,total,returns,cumulative_returns,commission_paid
2024-01-02,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-03,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-04,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-05,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-08,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-09,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-10,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-11,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-12,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-15,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-16,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-17,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-18,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-19,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-22,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-23,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-24,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-25,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-26,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-29,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-30,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-31,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-01,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-02,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-05,9.71,227700.00,99960.30,99970.01,-0.03%,-0.03%,29.99
2024-02-06,9.71,227700.00,106108.20,106117.91,6.15%,6.12%,0.00
2024-02-07,9.71,227700.00,109523.70,109533.41,3.22%,9.53%,0.00
2024-02-08,9.71,227700.00,110434.50,110444.21,0.83%,10.44%,0.00
2024-02-19,9.71,227700.00,112028.40,112038.11,1.44%,12.04%,0.00
2024-02-20,9.71,227700.00,110889.90,110899.61,-1.02%,10.90%,0.00
2024-02-21,9.71,227700.00,111573.00,111582.71,0.62%,11.58%,0.00
2024-02-22,9.71,227700.00,112028.40,112038.11,0.41%,12.04%,0.00
2024-02-23,9.71,227700.00,112483.80,112493.51,0.41%,12.49%,0.00
2024-02-26,9.71,227700.00,112939.20,112948.91,0.40%,12.95%,0.00
2024-02-27,9.71,227700.00,117265.50,117275.21,3.83%,17.28%,0.00
2024-02-28,9.71,227700.00,114077.70,114087.41,-2.72%,14.09%,0.00
2024-02-29,9.71,227700.00,118859.40,118869.11,4.19%,18.87%,0.00
2024-03-01,9.71,227700.00,119997.90,120007.61,0.96%,20.01%,0.00
2024-03-04,9.71,227700.00,120453.30,120463.01,0.38%,20.46%,0.00
2024-03-05,9.71,227700.00,120681.00,120690.71,0.19%,20.69%,0.00
2024-03-06,9.71,227700.00,119770.20,119779.91,-0.75%,19.78%,0.00
2024-03-07,9.71,227700.00,117037.80,117047.51,-2.28%,17.05%,0.00
2024-03-08,9.71,227700.00,117948.60,117958.31,0.78%,17.96%,0.00
2024-03-11,9.71,227700.00,120453.30,120463.01,2.12%,20.46%,0.00
2024-03-12,9.71,227700.00,120225.60,120235.31,-0.19%,20.24%,0.00
2024-03-13,9.71,227700.00,120225.60,120235.31,0.00%,20.24%,0.00
2024-03-14,118378.19,0.00,0.00,118378.19,-1.54%,18.38%,35.52
2024-03-15,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-18,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-19,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-20,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-21,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-22,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-25,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-26,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-27,118378.19,0.00,0.00,118378.19,0.00%,18.38%,0.00
2024-03-28,18367.80,202800.00,99980.40,118348.20,-0.03%,18.35%,29.99
2024-03-29,22.69,240000.00,118320.00,118342.69,-0.00%,18.34%,5.50
2024-04-01,22.69,240000.00,120240.00,120262.69,1.62%,20.26%,0.00
2024-04-02,119266.91,0.00,0.00,119266.91,-0.83%,19.27%,35.78
2024-04-03,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-08,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-09,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-10,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-11,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-12,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-15,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-16,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-17,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-18,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-19,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-22,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-23,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-24,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-25,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-26,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-29,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-04-30,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-06,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-07,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-08,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-09,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-10,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-13,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-14,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-15,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-16,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-17,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-20,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-21,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-22,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-23,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-24,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-27,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-28,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-29,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-30,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-05-31,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-06-03,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-06-04,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-06-05,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-06-06,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
2024-06-07,119266.91,0.00,0.00,119266.91,0.00%,19.27%,0.00
