DateTime,cash,shares,holdings,total,returns,cumulative_returns,commission_paid
2024-01-02,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-03,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-04,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-05,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-08,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-09,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-10,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-11,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-12,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-15,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-16,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-17,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-18,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-19,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-22,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-23,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-24,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-25,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-26,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-29,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-30,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-01-31,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-01,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-02,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-05,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-06,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-07,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-08,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-19,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-20,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-21,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-22,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-23,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-26,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-27,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-28,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-02-29,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-01,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-04,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-05,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-06,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-07,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-08,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-11,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-12,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-13,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-14,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-15,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-18,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-19,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-20,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-21,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-22,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-25,100000.00,0.00,0.00,100000.00,0.00%,0.00%,0.00
2024-03-26,6.51,84500.00,99963.50,99970.01,-0.03%,-0.03%,29.99
2024-03-27,6.51,84500.00,100808.50,100815.01,0.85%,0.82%,0.00
2024-03-28,6.51,84500.00,99456.50,99463.01,-1.34%,-0.54%,0.00
2024-03-29,6.51,84500.00,99203.00,99209.51,-0.25%,-0.79%,0.00
2024-04-01,6.51,84500.00,100217.00,100223.51,1.02%,0.22%,0.00
2024-04-02,6.51,84500.00,100386.00,100392.51,0.17%,0.39%,0.00
2024-04-03,6.51,84500.00,99794.50,99801.01,-0.59%,-0.20%,0.00
2024-04-08,6.51,84500.00,100555.00,100561.51,0.76%,0.56%,0.00
2024-04-09,6.51,84500.00,99879.00,99885.51,-0.67%,-0.11%,0.00
2024-04-10,6.51,84500.00,99963.50,99970.01,0.08%,-0.03%,0.00
2024-04-11,6.51,84500.00,99963.50,99970.01,0.00%,-0.03%,0.00
2024-04-12,99264.22,0.00,0.00,99264.22,-0.71%,-0.74%,29.79
2024-04-15,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-16,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-17,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-18,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-19,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-22,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-23,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-24,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-25,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-26,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-29,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-04-30,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-06,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-07,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-08,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-09,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-10,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-13,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-14,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-15,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-16,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-17,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-20,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-21,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-22,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-23,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-24,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-27,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-28,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-29,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-30,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-05-31,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-06-03,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-06-04,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-06-05,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
2024-06-06,99264.22,0.00,0.00,99264.22,0.00%,-0.74%,0.00
