short_window,long_window,volume_mavg_Value,MaRateUp,VolumeSellRate,rsi_period,rsiValueThd,rsiRateUp,divergence_threshold,Train_Sharpe,Train_AnnRet,Train_MaxDD,Train_Trades,Train_WinRate,Valid_Sharpe,Valid_AnnRet,Valid_MaxDD,Valid_Trades,Valid_WinRate,Score_train
4,14,10,0.95,3,12,35,1.36,0.022,0.4798339980241069,0.04259000846187688,-0.08795361499999944,30,0.4,1.9406008121431113,0.22368220012707574,-0.053399540328594536,11,0.6363636363636364,1.5023707679074099
4,14,10,1.0,3,10,27,1.6,0.021,0.37613360545943164,0.030422379861441584,-0.07275737466250738,26,0.4230769230769231,1.9577735545435324,0.22399490040904535,-0.053399540328594536,10,0.7,1.483281569818302
5,15,10,0.97,3,14,35,1.36,0.014,0.49647184123177945,0.05277847107850353,-0.13618169242628678,32,0.53125,1.9045263819795504,0.2570320123793508,-0.07650107316896605,10,0.8,1.482110019755219
5,16,10,1.02,3,16,30,1.52,0.014,0.5110804270525038,0.05426452295817752,-0.14077088937544316,29,0.5172413793103449,1.8934393224850512,0.25581216827780273,-0.07656204380201566,9,0.8888888888888888,1.4787316538552868
5,15,10,0.98,3,17,35,1.38,0.014,0.4792889436549705,0.05066776156707897,-0.13624327093032218,32,0.53125,1.8950244838716046,0.25375333806216327,-0.07650107316896605,9,0.7777777777777778,1.4703038218066142
5,15,10,1.12,3,10,28,1.16,0.015,0.4864153571806363,0.045928283640373824,-0.11084332404634538,27,0.4444444444444444,1.8836618583549318,0.24088191794422253,-0.06889984677168744,9,0.7777777777777778,1.4644879080026432
5,15,10,1.09,3,18,31,1.34,0.015,0.510086308013111,0.048041283440049876,-0.0958769168997607,25,0.48,1.8734740086063715,0.23730848045711506,-0.06889984677168744,8,0.75,1.4644576984283932
4,14,10,0.95,3,15,32,1.5,0.02,0.6032232205680219,0.057219996985836685,-0.07824588492267481,31,0.5161290322580645,1.8312702726207428,0.209872320885518,-0.05377340623599494,12,0.6666666666666666,1.4628561570049263
5,16,10,1.05,3,11,34,1.26,0.014,0.41279950083695993,0.04036509784027853,-0.14016090414282856,29,0.5172413793103449,1.9037805892376716,0.25936570378348667,-0.07656204380201566,10,0.9,1.456486262717458
4,14,10,0.99,3,10,30,1.54,0.022,0.29071940261859974,0.02157725890508888,-0.08092916269436295,24,0.375,1.9406008121431113,0.22368220012707574,-0.053399540328594536,11,0.6363636363636364,1.4456363892857578
5,15,10,0.95,3,11,29,1.3,0.015,0.42338533973360487,0.04184332735300056,-0.124322177,28,0.4642857142857143,1.8836618583549318,0.24088191794422253,-0.06889984677168744,9,0.7777777777777778,1.4455789027685337
4,15,10,1.02,3,14,28,1.0,0.018,0.6943718333546925,0.0698406942185632,-0.07520330578250332,32,0.46875,1.7515367178876817,0.21642955188298774,-0.06913132144405885,11,0.5454545454545454,1.4343872525277848
5,15,10,1.02,3,10,26,1.12,0.03,0.44229067500096797,0.033234205621545776,-0.08073373799999954,11,0.36363636363636365,1.8554385913318874,0.1798906789132242,-0.0650612232472129,7,0.7142857142857143,1.4314942164326114
