DateTime,OpenValue,CloseValue,HighValue,LowValue,Volume,ChangeRate,成交额,振幅,涨跌幅,涨跌额
2023-06-13,100.4,100.98,101.05,100.35,14664,0.61,147576790.0,0.7,0.38,0.383
2023-06-14,101.342,101.299,101.55,101.189,2621,0.12,26557238.0,0.36,0.32,0.319
2023-06-15,101.125,100.809,101.205,100.3,4665,0.2,47081437.0,0.89,-0.48,-0.49
2023-06-16,100.309,100.289,100.65,100.16,5258,0.22,52791565.0,0.49,-0.52,-0.52
2023-06-19,100.226,100.3,100.448,100.226,1077,0.05,10803103.0,0.22,0.01,0.011
2023-06-20,100.294,100.3,100.38,100.254,201,0.01,2014565.0,0.13,0.0,0.0
2023-06-21,100.35,100.631,100.649,100.305,1988,0.09,19983058.0,0.34,0.33,0.331
2023-06-26,100.64,100.731,100.731,100.606,857,0.04,8623225.0,0.12,0.1,0.1
2023-06-27,100.732,100.699,100.828,100.62,1531,0.06,15406827.0,0.21,-0.03,-0.032
2023-06-28,100.794,100.727,100.795,100.66,705,0.03,7101812.0,0.13,0.03,0.028
2023-06-29,100.73,100.82,100.82,100.718,533,0.02,5371364.0,0.1,0.09,0.093
2023-06-30,100.95,101.174,101.184,100.95,2873,0.12,29040895.0,0.23,0.35,0.354
2023-07-03,101.177,101.155,101.274,101.115,1503,0.06,15207487.0,0.16,-0.02,-0.019
2023-07-04,101.13,101.138,101.237,101.055,2039,0.09,20621979.0,0.18,-0.02,-0.017
2023-07-05,101.141,101.227,101.229,101.07,1480,0.06,14960517.0,0.16,0.09,0.089
2023-07-06,101.24,101.222,101.327,101.152,1869,0.08,18918741.0,0.17,0.0,-0.005
2023-07-07,101.123,101.236,101.3,101.123,2009,0.08,20332863.0,0.17,0.01,0.014
2023-07-10,101.236,101.279,101.299,101.135,1943,0.08,19664429.0,0.16,0.04,0.043
2023-07-11,101.315,101.369,101.379,101.315,2064,0.09,20920897.0,0.06,0.09,0.09
2023-07-12,101.409,101.422,101.45,101.351,1871,0.08,18967033.0,0.1,0.05,0.053
2023-07-13,101.422,101.429,101.44,101.37,2037,0.09,20652313.0,0.07,0.01,0.007
2023-07-14,101.39,101.358,101.4,101.297,1787,0.07,18110559.0,0.1,-0.07,-0.071
2023-07-17,101.306,101.44,101.483,101.306,979,0.04,9923281.0,0.17,0.08,0.082
2023-07-18,101.49,101.613,101.62,101.49,2083,0.09,21156483.0,0.13,0.17,0.173
2023-07-19,101.673,101.672,101.86,101.613,2362,0.1,24018834.0,0.24,0.06,0.059
2023-07-20,101.67,101.766,101.772,101.59,2208,0.09,22443600.0,0.18,0.09,0.094
2023-07-21,101.768,101.967,101.97,101.76,2884,0.12,29382672.0,0.21,0.2,0.201
2023-07-24,102.167,102.095,102.167,102.0,4396,0.18,44878995.0,0.16,0.13,0.128
2023-07-25,101.41,101.627,102.0,101.41,5872,0.25,59759628.0,0.58,-0.46,-0.468
2023-07-26,101.615,101.56,101.62,101.451,8536,0.36,86630165.0,0.17,-0.07,-0.067
2023-07-27,101.66,101.818,101.84,101.58,10323,0.47,104986655.0,0.26,0.25,0.258
2023-07-28,101.788,101.66,101.79,101.58,12439,0.57,126440566.0,0.21,-0.16,-0.158
2023-07-31,101.65,101.51,101.655,101.359,11790,0.49,119703260.0,0.29,-0.15,-0.15
2023-08-01,101.519,101.605,101.684,101.519,11893,0.5,120890873.0,0.16,0.09,0.095
2023-08-02,101.639,101.734,101.765,101.639,13330,0.56,135616616.0,0.12,0.13,0.129
2023-08-03,101.747,101.829,101.839,101.747,12143,0.51,123636495.0,0.09,0.09,0.095
2023-08-04,101.83,101.944,101.977,101.728,11777,0.49,119998924.0,0.24,0.11,0.115
2023-08-07,101.945,102.039,102.044,101.945,10621,0.44,108327575.0,0.1,0.09,0.095
2023-08-08,102.04,102.047,102.097,102.01,13665,0.57,139464589.0,0.09,0.01,0.008
2023-08-09,102.077,102.06,102.107,102.047,14672,0.63,149744300.0,0.06,0.01,0.013
2023-08-10,102.087,102.005,102.087,102.004,11994,0.5,122355459.0,0.08,-0.05,-0.055
2023-08-11,102.001,102.088,102.095,102.001,11151,0.48,113807925.0,0.09,0.08,0.083
2023-08-14,102.188,102.329,102.4,102.091,13037,0.56,133392999.0,0.3,0.24,0.241
2023-08-15,102.429,103.08,103.19,102.42,12829,0.54,132071247.0,0.75,0.73,0.751
2023-08-16,103.16,103.28,103.35,103.16,10786,0.45,111350237.0,0.18,0.19,0.2
2023-08-17,103.38,103.16,103.38,103.12,12076,0.51,124616231.0,0.25,-0.12,-0.12
2023-08-18,103.164,103.362,103.379,103.083,10776,0.49,111291537.0,0.29,0.2,0.202
2023-08-21,103.449,104.204,104.224,103.448,18821,0.79,195355356.0,0.75,0.81,0.842
