DateTime,OpenValue,CloseValue,HighValue,LowValue,Volume,ChangeRate,涨跌幅,涨跌额,amount,振幅
2025-04-22 11:30:00,7.871,8.007,8.009,7.86,7789487,9.72,3.66,0.283,6169982343.0,1.93
2025-04-22 15:00:00,8.007,7.982,8.033,7.967,7405534,9.24,-0.31,-0.025,5923430354.0,0.82
2025-04-23 11:30:00,7.759,7.579,7.759,7.552,15908489,19.85,-5.05,-0.403,12203777690.0,2.59
2025-04-23 15:00:00,7.584,7.5,7.636,7.486,9738399,12.15,-1.04,-0.079,7358988349.0,1.98
2025-04-24 11:30:00,7.67,7.594,7.707,7.576,9311274,11.62,1.25,0.094,7125674545.0,1.75
2025-04-24 15:00:00,7.589,7.582,7.608,7.55,3723460,4.65,-0.16,-0.012,2821165176.0,0.76
2025-04-25 11:30:00,7.641,7.639,7.656,7.622,3258899,4.07,0.75,0.057,2489952008.0,0.45
2025-04-25 15:00:00,7.633,7.53,7.633,7.486,6727044,8.39,-1.43,-0.109,5070978090.0,1.92
2025-04-28 11:30:00,7.499,7.487,7.499,7.443,5511436,6.88,-0.57,-0.043,4114253093.0,0.74
2025-04-28 15:00:00,7.494,7.465,7.511,7.463,2561574,3.2,-0.29,-0.022,1917280946.0,0.64
2025-04-29 11:30:00,7.561,7.508,7.586,7.5,3820179,4.77,0.58,0.043,2883651406.0,1.15
2025-04-29 15:00:00,7.501,7.517,7.526,7.485,2484534,3.1,0.12,0.009,1865836394.0,0.55
2025-04-30 11:30:00,7.525,7.493,7.529,7.487,2025027,2.53,-0.32,-0.024,1519636387.0,0.56
2025-04-30 15:00:00,7.491,7.471,7.5,7.467,2347901,2.93,-0.29,-0.022,1756579095.0,0.44
2025-05-06 11:30:00,7.596,7.604,7.659,7.585,7038444,8.78,1.78,0.133,5366596930.0,0.99
2025-05-06 15:00:00,7.604,7.612,7.615,7.57,2806826,3.5,0.11,0.008,2132899344.0,0.59
2025-05-07 11:30:00,7.614,7.637,7.678,7.588,4862069,6.07,0.33,0.025,3712641750.0,1.18
2025-05-07 15:00:00,7.643,7.671,7.678,7.642,2656580,3.31,0.45,0.034,2035897317.0,0.47
2025-05-08 11:30:00,7.679,7.695,7.732,7.674,4396527,5.49,0.31,0.024,3387855525.0,0.76
2025-05-08 15:00:00,7.69,7.557,7.69,7.538,6731984,8.4,-1.79,-0.138,5116051173.0,1.98
2025-05-09 11:30:00,7.502,7.497,7.515,7.427,5657927,7.06,-0.79,-0.06,4228056313.0,1.16
2025-05-09 15:00:00,7.533,7.531,7.555,7.503,3215083,4.01,0.45,0.034,2419159742.0,0.69
2025-05-12 11:30:00,7.341,7.397,7.399,7.341,4164849,5.2,-1.78,-0.134,3073383320.0,0.77
2025-05-12 15:00:00,7.396,7.376,7.397,7.368,2517143,3.14,-0.28,-0.021,1857564425.0,0.39
2025-05-13 11:30:00,7.291,7.272,7.291,7.224,5398556,6.74,-1.41,-0.104,3916799186.0,0.91
2025-05-13 15:00:00,7.3,7.332,7.339,7.294,3653610,4.56,0.83,0.06,2671847988.0,0.62
2025-05-14 11:30:00,7.309,7.282,7.322,7.278,3074093,3.84,-0.68,-0.05,2244214646.0,0.6
2025-05-14 15:00:00,7.27,7.277,7.294,7.265,2407700,3.0,-0.07,-0.005,1752458563.0,0.4
2025-05-15 11:30:00,7.165,7.075,7.169,7.063,6682071,8.34,-2.78,-0.202,4753585297.0,1.46
2025-05-15 15:00:00,7.054,7.062,7.073,7.01,6219168,7.76,-0.18,-0.013,4378845094.0,0.89
2025-05-16 11:30:00,7.195,7.167,7.204,7.157,5165693,6.45,1.49,0.105,3711816332.0,0.67
2025-05-16 15:00:00,7.177,7.177,7.203,7.162,3387055,4.23,0.14,0.01,2431968393.0,0.57
2025-05-19 11:30:00,7.206,7.217,7.226,7.193,3521062,4.39,0.56,0.04,2539119350.0,0.46
2025-05-19 15:00:00,7.204,7.222,7.231,7.198,2811709,3.51,0.07,0.005,2028296518.0,0.46
2025-05-20 11:30:00,7.217,7.209,7.238,7.196,2793478,3.49,-0.18,-0.013,2015516409.0,0.58
2025-05-20 15:00:00,7.214,7.209,7.219,7.203,1815150,2.26,0.0,0.0,1309028489.0,0.22
2025-05-21 11:30:00,7.381,7.416,7.417,7.376,3949280,4.93,2.87,0.207,2918707758.0,0.57
2025-05-21 15:00:00,7.407,7.439,7.44,7.4,3594585,4.49,0.31,0.023,2668850980.0,0.54
2025-05-22 11:30:00,7.478,7.494,7.505,7.478,4283592,5.35,0.74,0.055,3208837191.0,0.36
2025-05-22 15:00:00,7.493,7.45,7.494,7.448,2986956,3.73,-0.59,-0.044,2230945856.0,0.61
2025-05-23 11:30:00,7.405,7.384,7.41,7.373,2451347,3.06,-0.89,-0.066,1811914943.0,0.5
2025-05-23 15:00:00,7.409,7.454,7.457,7.409,3608012,4.5,0.95,0.07,2683465317.0,0.65
2025-05-26 11:30:00,7.438,7.445,7.472,7.428,2838080,3.54,-0.12,-0.009,2114964451.0,0.59
